stress_threshold,reversion_threshold,vix_bull_fragile,gex_override,pos_stress,pos_reversion,pos_fragile,pos_quiet,pos_neutral,sharpe_ratio,total_return,max_drawdown,num_trades,avg_position
0.94,1.06,25,True,0.0,1.0,0.7,0.9,0.3,0.8290841924409905,5.7483501997326005,-0.21040534957238446,480,0.8795985772357725
0.94,1.06,25,True,0.0,1.0,0.7,0.9,0.5,0.8290841924409905,5.7483501997326005,-0.21040534957238446,480,0.8795985772357725
0.94,1.06,25,True,0.0,1.0,0.7,0.9,0.7,0.8290841924409905,5.7483501997326005,-0.21040534957238446,480,0.8795985772357725
0.94,1.06,35,True,0.0,1.0,0.5,0.9,0.5,0.8288237112635671,5.915725354683703,-0.21196405919834324,444,0.8857469512195123
0.94,1.06,35,True,0.0,1.0,0.7,0.9,0.7,0.8288237112635671,5.915725354683703,-0.21196405919834324,444,0.8857469512195123
0.94,1.06,35,True,0.0,1.0,0.5,0.9,0.3,0.8288237112635671,5.915725354683703,-0.21196405919834324,444,0.8857469512195123
0.94,1.06,35,True,0.0,1.0,0.6,0.9,0.5,0.8288237112635671,5.915725354683703,-0.21196405919834324,444,0.8857469512195123
0.94,1.06,35,True,0.0,1.0,0.8,0.9,0.7,0.8288237112635671,5.915725354683703,-0.21196405919834324,444,0.8857469512195123
0.94,1.06,35,True,0.0,1.0,0.8,0.9,0.5,0.8288237112635671,5.915725354683703,-0.21196405919834324,444,0.8857469512195123
0.94,1.06,35,True,0.0,1.0,0.8,0.9,0.3,0.8288237112635671,5.915725354683703,-0.21196405919834324,444,0.8857469512195123
0.94,1.06,35,True,0.0,1.0,0.5,0.9,0.7,0.8288237112635671,5.915725354683703,-0.21196405919834324,444,0.8857469512195123
0.94,1.06,35,True,0.0,1.0,0.6,0.9,0.7,0.8288237112635671,5.915725354683703,-0.21196405919834324,444,0.8857469512195123
0.94,1.06,35,True,0.0,1.0,0.7,0.9,0.5,0.8288237112635671,5.915725354683703,-0.21196405919834324,444,0.8857469512195123
0.94,1.06,35,True,0.0,1.0,0.6,0.9,0.3,0.8288237112635671,5.915725354683703,-0.21196405919834324,444,0.8857469512195123
0.94,1.06,35,True,0.0,1.0,0.7,0.9,0.3,0.8288237112635671,5.915725354683703,-0.21196405919834324,444,0.8857469512195123
0.94,1.02,15,True,0.1,1.0,0.8,1.0,0.5,0.8287162149523283,5.070734174177546,-0.20879067165102458,613,0.8452235772357723
0.94,1.02,15,True,0.1,1.0,0.8,1.0,0.3,0.8287162149523283,5.070734174177546,-0.20879067165102458,613,0.8452235772357723
0.94,1.02,15,True,0.1,1.0,0.8,1.0,0.7,0.8287162149523283,5.070734174177546,-0.20879067165102458,613,0.8452235772357723
0.94,1.06,30,True,0.0,1.0,0.8,1.0,0.7,0.828484727545556,6.4947178267357275,-0.21355730147806049,146,0.961839430894309
0.94,1.06,30,True,0.0,1.0,0.8,1.0,0.5,0.828484727545556,6.4947178267357275,-0.21355730147806049,146,0.961839430894309
0.94,1.06,30,True,0.0,1.0,0.8,1.0,0.3,0.828484727545556,6.4947178267357275,-0.21355730147806049,146,0.961839430894309
0.94,1.0,25,True,0.0,1.0,0.8,1.0,0.7,0.8279350657955284,5.710210877787645,-0.21953959490289907,296,0.9138211382113821
0.94,1.0,25,True,0.0,1.0,0.8,1.0,0.5,0.8279350657955284,5.710210877787645,-0.21953959490289907,296,0.9138211382113821
0.94,1.0,25,True,0.0,1.0,0.8,1.0,0.3,0.8279350657955284,5.710210877787645,-0.21953959490289907,296,0.9138211382113821
0.94,1.06,25,True,0.0,1.0,0.6,0.9,0.7,0.8279349205699446,5.663101101150305,-0.20962599475940527,480,0.8765243902439026
0.94,1.06,25,True,0.0,1.0,0.6,0.9,0.3,0.8279349205699446,5.663101101150305,-0.20962599475940527,480,0.8765243902439026
0.94,1.06,25,True,0.0,1.0,0.6,0.9,0.5,0.8279349205699446,5.663101101150305,-0.20962599475940527,480,0.8765243902439026
0.94,1.02,15,True,0.0,1.0,0.7,0.9,0.3,0.8279146911702541,4.423765845008772,-0.20518652249626743,638,0.7536839430894309
0.94,1.02,15,True,0.0,1.0,0.7,0.9,0.5,0.8279146911702541,4.423765845008772,-0.20518652249626743,638,0.7536839430894309
0.94,1.02,15,True,0.0,1.0,0.7,0.9,0.7,0.8279146911702541,4.423765845008772,-0.20518652249626743,638,0.7536839430894309
